country,Location code,SDMX code**,Type,Parent code,2022,2023,2024,2025
China,156,156,Country/Area,906,1425887.34,1425671.35,1425178.78,1424381.92
India,356,356,Country/Area,5501,1417173.17,1428627.66,1441719.85,1454606.72
Sub-Saharan Africa,1834,202,SDG region,1828,1166766.36,1196275.77,1226533.96,1257334.26
Europe and Northern America,1829,513,SDG region,1828,1120426.46,1121177.06,1122699.87,1124206.67
EUROPE,908,150,Region,1840,743555.77,742272.65,741651.87,741045.33
South-Eastern Asia,920,35,Subregion,935,681125.07,686824.69,692671.32,698370.12
LATIN AMERICA,904,419,Region,1840,660269.07,664997.12,669972.86,674862.05
Northern Africa,1833,747,SDG region,1828,553690.05,562239.66,570813.79,579344.31
Eastern Africa,910,14,Subregion,903,473004.85,485066.93,497385.82,509869.54
South America,931,5,Subregion,904,436816.61,439719.01,442860.82,445938.69
Western Africa,914,11,Subregion,903,429084.92,439868.54,450876.83,462076.06
NORTHERN AMERICA,905,21,Region,1840,376870.70,378904.41,381048.01,383161.33
United States of America,840,840,Country/Area,905,338289.86,339996.56,341814.42,343603.40
Western Asia,922,145,Subregion,935,293720.11,298033.66,302353.82,306647.33
Eastern Europe,923,151,Subregion,908,289626.12,288176.49,287340.69,286542.90
Indonesia,360,360,Country/Area,920,275501.34,277534.12,279798.05,282004.31
Northern Africa,912,15,Subregion,903,259969.95,264206.00,268459.96,272696.99
Pakistan,586,586,Country/Area,5501,235824.86,240485.66,245209.82,249948.89
Nigeria,566,566,Country/Area,914,218541.21,223804.63,229152.22,234573.60
Brazil,76,76,Country/Area,931,215313.50,216422.45,217637.30,218803.06
Middle Africa,911,17,Subregion,903,196077.90,202105.15,208307.44,214645.72
Western Europe,926,155,Subregion,908,195619.90,195841.93,196087.35,196312.24
Central America,916,13,Subregion,904,179060.36,180643.73,182236.45,183814.74
Bangladesh,50,50,Country/Area,5501,171186.37,172954.32,174701.21,176421.51
Southern Europe,925,39,Subregion,908,151759.68,151357.68,150980.43,150607.16
Russian Federation,643,643,Country/Area,923,144713.31,144444.36,143957.08,143494.21
Mexico,484,484,Country/Area,916,127504.13,128455.57,129388.47,130301.39
Japan,392,392,Country/Area,906,123951.69,123294.51,122631.43,121960.41
Ethiopia,231,231,Country/Area,910,123379.92,126527.06,129719.72,132938.56
Philippines,608,608,Country/Area,920,115559.01,117337.37,119106.23,120864.36
Egypt,818,818,Country/Area,912,110990.10,112716.60,114484.25,116275.46
